OBJECTID,Angle
1224161,14.42077313
1224163,40.70261334
1224166,14.42077313
1224167,14.42077313
1224168,36.13537661
1224171,14.42077313
1224172,14.42077313
1224175,39.80557109
1224185,35.69005982
1224190,35.69005982
1224198,35.69005982
1224199,35.69005982
1224203,35.69005982
1224208,35.69005982
1224213,35.69005982
1224214,40.64892205
1224226,40.64892205
1224237,40.64892205
1224253,40.64892205
1224254,40.64892205
1224255,40.64892205
1224256,40.64892205
1224257,14.42077313
1224260,37.20792192
1224266,37.20792192
1224271,37.20792192
1224278,37.20792192
1224280,39.80557109
1224281,39.80557109
1224285,39.80557109
1224286,39.80557109
1224289,39.80557109
1224290,39.80557109
1224297,39.80557109
1224298,39.80557109
1224299,39.80557109
1224307,39.80557109
1224308,39.80557109
1224314,39.80557109
1224315,39.80557109
1224316,39.80557109
1224317,39.80557109
1224322,39.80557109
1224323,39.80557109
1224331,39.80557109
1224332,39.80557109
1224336,39.80557109
1224337,39.80557109
1224342,39.80557109
1224343,39.80557109
1224345,39.80557109
1224349,39.80557109
1224350,39.80557109
1224357,39.80557109
1224358,39.80557109
1224363,39.80557109
1224364,39.80557109
1224367,39.80557109
1224369,39.80557109
1224378,36.13537661
1224380,39.80557109
1224381,39.80557109
1224385,36.13537661
1224390,39.80557109
1224391,39.80557109
1224398,39.80557109
1224399,39.80557109
1224407,39.80557109
1224408,39.80557109
1224409,39.80557109
1224415,39.80557109
1224416,39.80557109
1224417,39.80557109
1224418,39.80557109
1224424,39.80557109
1224425,39.80557109
1224426,39.80557109
1224434,39.80557109
1224435,39.80557109
1224436,39.80557109
1224437,39.80557109
1224440,39.80557109
1224441,39.80557109
1224442,39.80557109
1224447,39.80557109
1224448,39.80557109
1224449,39.80557109
1224458,39.80557109
1224465,39.80557109
1224466,39.80557109
1224470,39.80557109
1224471,-67.02168265
1224474,39.80557109
1224478,39.80557109
1224479,39.80557109
1224483,39.80557109
1224485,39.80557109
1224489,39.80557109
1224491,39.80557109
1224562,36.29262973
1224568,36.29262973
1224569,36.29262973
1224570,36.29262973
1224571,36.29262973
1224576,36.29262973
1224580,36.29262973
1224585,36.29262973
1224588,36.29262973
1224589,36.29262973
1224593,36.29262973
1224594,36.29262973
1224595,36.29262973
1224596,36.29262973
1224600,36.29262973
1224601,36.29262973
1224609,36.29262973
1224610,36.29262973
1224611,36.29262973
1224612,36.29262973
1224619,36.29262973
1224620,36.29262973
1224624,36.29262973
1224625,36.29262973
1224628,36.29262973
1224629,36.29262973
1224634,36.29262973
1224637,36.29262973
1224643,36.29262973
1224644,36.29262973
1224645,36.29262973
1224648,36.29262973
1224656,36.29262973
1224657,36.29262973
1224658,36.29262973
1224663,36.29262973
1224665,36.29262973
1224666,36.29262973
1224667,36.29262973
1224668,36.29262973
1224672,36.29262973
1224673,36.29262973
1224676,36.29262973
1224682,36.29262973
1224683,36.29262973
1224684,36.29262973
1224685,36.29262973
1224687,37.20792192
1224688,37.20792192
1224689,37.20792192
1224690,37.20792192
1224691,37.20792192
1224692,37.20792192
1224693,37.20792192
1224694,37.20792192
1224695,37.20792192
1224696,37.20792192
1224697,37.20792192
1224698,37.20792192
1224699,40.70261334
1224700,40.70261334
1224701,40.70261334
1224702,40.70261334
1224703,40.70261334
