label,StreetNa_1,county,labelDirec,Angle
Prospect St NW,Prospect St NW,District of Columbia County,,88.79648419
N St NW,N St NW,District of Columbia County,,0
31st St NW,31st St NW,District of Columbia County,,-1.73570459
Alton Road,Alton Rd,Miami-Dade County,L,-1.789910609
,,FL,Lincoln Road,Lincoln Rd Mall
,,20007,,0.000984141
Potomac St NW,Potomac St NW,District of Columbia County,,-2.021364943
33rd St NW,33rd St NW,District of Columbia County,L,8.488943878
M St NW,34th St NW,District of Columbia County,,0
Grace St NW,Grace St NW,District of Columbia County,,89.49741833
35th St NW,N St NW,District of Columbia County,,88.67802434
Thomas Jefferson St NW,Thomas Jefferson St NW,District of Columbia County,,-1.041626677
Cady's Alley NW,Cadys Aly NW,District of Columbia County,,88.734001
34th Street,34th St NW,District of Columbia County,,-1.145762839
M St NW,33rd St NW,District of Columbia County,,-1.974934006
Q St NW,Q St NW,District of Columbia County,,89.3610401
29th St NW,Dumbarton St NW,District of Columbia County,,89.46949868
36th St NW,Prospect St NW,District of Columbia County,,88.63607247
K St NW,Water St NW,District of Columbia County,,-82.87498366
M St NW,Potomac St NW,District of Columbia County,,-20.22485943
South St NW,31st St NW,District of Columbia County,L,-1.397181028
28th St NW,28th St NW,District of Columbia County,,-0.682060395
O St NW,O St NW,District of Columbia County,,88.31531568
Canal Towpath NW,C&O Canal Towpath NW,District of Columbia County,,-85.42607874
1/2 36th St NW,36th St NW,District of Columbia County,,-2.045408492
28th St NW,M St NW,District of Columbia County,,89.14490261
30th St NW,30th St NW,District of Columbia County,,-1.652304677
M St NW,31st St NW,District of Columbia County,,-1.218875232
Jones Ct NW,Jones Ct NW,District of Columbia County,L,87.61405598
M St NW,28th St NW,District of Columbia County,,-0.682060395
Dumbarton St NW,27th St NW,District of Columbia County,,-1.380354074
Canal Rd NW,Canal Rd NW,District of Columbia County,,-34.69515353
R St NW,R St NW,District of Columbia County,,-87.88758873
Prospect St. NW,Prospect St NW,District of Columbia County,,88.79648419
K St NW,K St NW,District of Columbia County,,-89.64632684
M St & Penn Ave & 28th St,M St NW,District of Columbia County,,0
P St & 26th St,26th St NW,District of Columbia County,,0.784824605
O St NW,Potomac St NW,District of Columbia County,,-1.735704591
Virginia Ave NW,Virginia Ave NW,District of Columbia County,,-61.55707138
34th St. and Volta Place NW,34th St NW,District of Columbia County,,-0.578725564
Collins Avenue,Collins Ct,Miami-Dade County,L,12.22512268
Northeast 40th Street,NE 40th St,Miami-Dade County,R,87.74320607
Northeast 39th Street,NE 39th St,Miami-Dade County,R,87.83892051
Northeast 2nd Avenue,NE 2nd Ave,Miami-Dade County,R,-2.082565275
Northeast 40th Street,NW 40th St,Miami-Dade County,L,-85.60129465
North Miami Avenue,N Miami Ave,Miami-Dade County,,-2.489552916
Northeast 1st Avenue,NE 1st Ave,Miami-Dade County,L,-2.563770215
,,33137,,0.00155029
34th St NW,Prospect St NW,District of Columbia County,,89.02897807
,,DC,Wisconsin Ave NW,Wisconsin Ave NW
Cadys Alley NW,Cadys Aly NW,District of Columbia County,,88.734001
Thomas Jefferson St. NW Ste 600,Thomas Jefferson St NW,District of Columbia County,,-1.041626677
Potomac St NW,33rd St NW,District of Columbia County,,-2.245742567
1/2 M St NW,M St NW,District of Columbia County,,88.63607246
South St NW,South St NW,District of Columbia County,,89.36340642
Wisconsin Avenue NW,Wisconsin Ave NW,District of Columbia County,R,-27.99714736
34th St NW NW,34th St NW,District of Columbia County,,-0.674036896
33rd St NW,Potomac St NW,District of Columbia County,,-2.726310991
P St. NW,P St NW,District of Columbia County,,88.55344431
1/2 31st St NW,31st St NW,District of Columbia County,,-1.73570459
34th St NW,34th St NW,District of Columbia County,,2.815556682
1/2 Wisconsin Ave NW,Wisconsin Ave NW,District of Columbia County,,-27.99714736
Grace St. NW,Grace St NW,District of Columbia County,,88.42344994
M St NW,29th St NW,District of Columbia County,,-0.682060395
Grace Street NW,Grace St NW,District of Columbia County,,88.42344994
31st St NW,M St NW,District of Columbia County,,89.43829467
Northwest 36th Street,NW 36th St,Miami-Dade County,R,88.74095479
Biscayne Boulevard,Biscayne Blvd,Miami-Dade County,L,8.673174047
Northeast 38th Street,NE 38th St,Miami-Dade County,R,88.43064519
Northeast 41st Street,NE 41st St,Miami-Dade County,L,88.59597278
North 1st Court,NE 1st Ct,Miami-Dade County,L,0
Fulton Market,W Fulton Blvd,Cook County,xL,89.03713637
,,60607,,0.000330606
Fulton Market,W Fulton Market,Cook County,R,89.51445417
Green Street,N Green St,Cook County,R,-2.511363269
Halsted Street,S Halsted St,Cook County,L,-0.895173708
7th Avenue,7th Ave,Kings County,R,38.65980825
,,11220,,0.0005728
13th Avenue,13th Ave,Kings County,L,46.52076966
18th Avenue,18th Ave,Kings County,R,46.90915243
31st Street,31st St,Queens County,R,50.7678889
Ditmars Boulevard,Ditmars Blvd,Queens County,R,-53.89254871
74th Street,74th St,Queens County,R,-11.24548281
82nd Street,82nd St,Queens County,L,-10.50148501
37th Avenue,37th Ave,Queens County,L,84.06847307
,,11214,,0.00083863
108th Street,108th St,Queens County,R,-27.55281158
149th Street,E 149th St,Bronx County,L,-67.71441235
,E 149th St,Bronx County,L,-75.66456458
165th Street,165th St,Queens County,L,-32.18894935
Allerton Avenue,Allerton Ave,Bronx County,R,0
Austin Street,Austin St,Queens County,R,-62.54325771
Avenue J,Avenue J,Kings County,L,81.86989765
Avenue U,Avenue U,Kings County,R,83.72270151
Nostrand Avenue,Nostrand Ave,Kings County,L,-10.7288593
Beach 20th Street,Beach 20th St,Queens County,L,14.72902445
Bay Parkway,Bay Pkwy,Kings County,R,45
Bedford Avenue,Bedford Ave,Kings County,L,46.49433359
North 4th Street,N 4th St,Kings County,L,-58.58812919
North 7th Street,N 7th St,Kings County,L,-57.99461679
North 4 Street,N 4th St,Kings County,R,-58.10278994
Bell Boulevard,Bell Blvd,Queens County,R,-27.31153375
Brighton Beach Avenue,Brighton Beach Ave,Kings County,R,86.09950626
Grand Concourse,Grand Concourse,Bronx County,R,27.91976643
Fordham Road,E Fordham Rd,Bronx County,L,79.21570214
