OBJECTID,Id,St_label,Labelside,Address,Numberreal,Occupantre,Dm,DetailCat,StreetName,Angle,Direction
21774,106558,Thirteenth Street,R,327 WEST 13 STREET,327,Notre Dame School,,Education,W 13th St,-66.51588471,N
21775,106559,Thirteenth Street,L,652 HUDSON STREET,336,Vacant (Available),11/4/2013,Vacant,W 13th St,-66.51588471,S
21776,106560,14th Street,L,400 WEST 14 STREET,400,Kiehl's (Available),8/5/2015,Cosmetics: Cosmetic Stores,W 14th St,-67.26058222,S
21777,106561,14th Street,L,402 WEST 14 STREET,408,lululemon athletica,4/18/2013,Fashion:Upscale,W 14th St,-67.26058222,S
21778,106562,14th Street,L,402 WEST 14 STREET,408,Vacant (Available),9/16/2013,Vacant,W 14th St,-67.26058222,S
21779,106563,14th Street,L,402 WEST 14 STREET,408,Vacant (Available),11/3/2015,Vacant,W 14th St,-67.26058222,S
21780,106564,14th Street,L,410 WEST 14 STREET,410,Vacant (Available),2/24/2015,Vacant,W 14th St,-67.26058222,S
21781,106565,14th Street,L,415 WEST 13 STREET,412,Lexus (Coming Soon),5/2/2014,Auto Dealership,W 14th St,-67.26058222,S
21782,106566,14th Street,R,405 WEST 14 STREET,405,Ugg (Available),4/10/2015,Accessories,W 14th St,-67.26058222,N
21783,106567,14th Street,R,407 WEST 14 STREET,407,Vacant (Available),3/4/2015,Vacant,W 14th St,-67.26058222,N
21784,106568,14th Street,R,409 WEST 14 STREET,409,Vacant (Available),3/5/2015,Vacant,W 14th St,-67.26058222,N
21785,106569,14th Street,,413 WEST 14 STREET,413,Delete,2/1/2016,,W 14th St,-67.26058222,
21786,106570,14th Street,R,413 WEST 14 STREET,417,Vacant (Available),2/1/2016,Vacant,W 14th St,-67.26058222,N
21787,106571,14th Street,R,421 WEST 14 STREET,421,Vacant (Available),4/13/2016,Vacant,W 14th St,-67.26058222,N
21788,106572,14th Street,R,421 WEST 14 STREET,423,Vacant (Available),4/13/2016,Vacant,W 14th St,-67.26058222,N
21789,106573,14th Street,R,421 WEST 14 STREET,425,Vacant (Available),4/13/2016,Vacant,W 14th St,-67.26058222,N
21790,106574,14th Street,R,421 WEST 14 STREET,427,Vacant (Available),3/16/2012,Vacant,W 14th St,-67.26058222,N
21791,106575,14th Street,L,418 WEST 14 STREET,414,Levi's,11/9/2010,Fashion:Mainstream,W 14th St,-67.26058222,S
21792,106576,14th Street,L,350 WEST 14 STREET,350,Vacant,12/1/2016,Available,W 14th St,-67.08906274,S
21793,106577,14th Street,,350 WEST 14 STREET,350,Delete,5/15/2017,Vacant,W 14th St,-67.08906274,
21794,106578,14th Street,L,345 WEST 13 STREET,342,Keratin Bar,7/19/2014,Salon/Spa,W 14th St,-67.08906274,S
21795,106579,14th Street,,318 WEST 14 STREET,316,Delete,7/31/2008,,W 14th St,-67.08906274,
21796,106580,14th Street,L,304 WEST 14 STREET,312,14th St. Prescription Center,7/31/2008,Pharmacy,W 14th St,-67.08906274,S
21797,106581,14th Street,L,304 WEST 14 STREET,310,Istanbul Grill,,Restaurant,W 14th St,-67.08906274,S
21798,106582,14th Street,L,304 WEST 14 STREET,310,Ilconte,6/16/2016,Other,W 14th St,-67.08906274,S
21799,106583,14th Street,,351 WEST 14 STREET,353,Delete,9/16/2013,,W 14th St,-67.08906274,
21800,106584,14th Street,R,351 WEST 14 STREET,351,Gansevoort Market,12/1/2016,Grocery,W 14th St,-67.08906274,N
21801,106585,14th Street,R,345 WEST 14 STREET,345,Columbia Sportswear,3/4/2015,Sporting Goods,W 14th St,-67.08906274,N
21802,106586,14th Street,,345 WEST 14 STREET,345,Delete,9/7/2010,,W 14th St,-67.08906274,
21803,106587,14th Street,R,343 WEST 14 STREET,343,Vacant (Available),12/3/2013,Vacant,W 14th St,-67.08906274,N
21804,106588,14th Street,R,337 WEST 14 STREET,337,Mulino A Vino,3/4/2015,Restaurant,W 14th St,-67.08906274,N
21805,106589,14th Street,R,327 WEST 14 STREET,327,Vacant (Available),4/19/2017,Available,W 14th St,-67.08906274,N
21806,106590,14th Street,R,325 WEST 14 STREET,325,"Redden's Funeral Home, Inc.",,Other,W 14th St,-67.08906274,N
21807,106591,14th Street,,450 WEST 14 STREET,450,Delete,9/24/2008,,,13.57043438,
21808,106592,14th Street,L,450 WEST 14 STREET,450,Vacant (Available),4/13/2016,Vacant,,13.57043438,W
21809,106593,14th Street,L,440 WEST 14 STREET,874,Diane von Furstenberg,1/18/2008,Fashion:Luxury,Washington St,35.92850243,W
21810,106594,14th Street,L,322 WEST 14 STREET,320,Gourmet Deli,8/6/2010,Convenience Store,W 14th St,-67.08906274,S
21811,106595,14th Street,L,420 WEST 14 STREET,420,Asics,12/28/2015,Sporting Goods,W 14th St,-67.26058222,S
21812,106596,14th Street,L,428 WEST 14 STREET,432,LUMAS (Temp),12/28/2015,Gallery,W 14th St,-67.26058222,S
21813,106597,14th Street,R,309 WEST 14 STREET,303-309,Residential,,Residential,W 14th St,-67.08906274,N
21814,106598,14th Street,R,315 WEST 14 STREET,315,The Vidon,,Residential,W 14th St,-67.08906274,N
21815,106599,14th Street,R,317 WEST 14 STREET,317,Chelsea Pines Inn,7/31/2008,Hotel,W 14th St,-67.08906274,N
21816,106600,14th Street,R,321 WEST 14 STREET,319-323,Residential,,Residential,W 14th St,-67.08906274,N
21817,106601,14th Street,R,329 WEST 14 STREET,329,Residential,3/4/2015,Residential,W 14th St,-67.08906274,N
