Address,City,State,Zip,Store Type
550 FACTORY SHOPS BLVD,GAFFNEY,SC,29341,Factory Store
3320 Silas Creek Parkway,WINSTON-SALEM,NC,27103,Shoes
310 SHOPPES ON THE PARKWAY ROAD,BLOWING ROCK,NC,28605,Factory Store
801B FRIENDLY CENTER RD,GREENSBORO,NC,27408,
700 HAYWOOD RD,GREENVILLE,SC,29607,Petites
1512 5th Ave,SEATTLE,WA,98101,Shoes
500 Pike St,SEATTLE,WA,98101,"Shoes, Petites"
4613 26TH AVENUE NORTHEAST,SEATTLE,WA,98105,Petites
208 Bellevue Sq,BELLEVUE,WA,98004,Petites
1101 OUTLET COLLECTION WAY,AUBURN,WA,98001,"Factory Store, Petites"
421 FORK AVENUE SW,NORTH BEND,WA,98045,Factory Store
10600 Quilceda Boulevard,TULALIP,WA,98271,"Factory Store, Petites"
3147 Douglas St.,VICTORIA,BC,V8Z 6E3,Petites
8401 GATEWAY BLVD W,EL PASO,TX,79925,
7051 S. DESERT BLVD,EL PASO,TX,79932,"Factory Store, Petites"
1555 TALBOT RD.,WINDSOR,ON,N9H 2H2,Factory Store
2800 West Big Beaver Road,TROY,MI,48084,Petites
17410 HALL RAOD,CLINTON TWP,MI,48038,
27456 Novi Road,NOVI,MI,48377,"Shoes, Petites"
244 N ADAMS RD,ROCHESTER HILLS,MI,48309,Shoes
4630 BALDWIN ROAD,AUBURN HILLS,MI,48326,Factory Store
100 BRIARWOOD CIR,ANN ARBOR,MI,48108,"Shoes, Petites"
1475 BURKHART RD,HOWELL,MI,48855,Factory Store
5001 MONROE ST STE 700,TOLEDO,OH,43623,Shoes
12156 South Beyer,BIRCH RUN,MI,48415,Factory Store
3020 TOWNE CENTRE BLVD,LANSING,MI,48912,
200 MARKET ST,WESTLAKE,OH,44145,
500 SOUTHPARK CENTER,STRONGSVILLE,OH,44136,
500 16TH STREET,DENVER,CO,80202,Shoes
3000 E 1ST AVE,DENVER,CO,80206,"Shoes, Petites"
7301 S SANTA FE DR,LITTLETON,CO,80120,Shoes
8405 PARK MEADOWS CENTER DRIVE,LITTLETON,CO,80124,"Shoes, Petites"
1 West Flatiron Circle,BROOMFIELD,CO,80021,"Shoes, Petites"
5050 FACTORY SHOP BLVD,CASTLE ROCK,CO,80108,"Factory Store, Petites"
5957 SKY POND DRIVE,LOVELAND,CO,80538,
1845 BRIARGATE PKWY,COLORADO SPRINGS,CO,80920,
227 #G Blue River Parkway,SILVERTHORNE,CO,80498,Factory Store
601 13TH STREET,WASHINGTON,DC,20005,
3200 M STREET NW,WASHINGTON,DC,20007,Shoes
1100 South Hayes Street,ARLINGTON,VA,22202,
5430 WISCONSIN AVE,CHEVY CHASE,MD,20815,Shoes
628 King Street,ALEXANDRIA,VA,22314,
6800 OXON HILL RD,NATIONAL HARBOR,MD,20745,Factory Store
7937 TYSONS CORNER CTR,MCLEAN,VA,22102,Shoes
7101 DEMOCRACY BLVD,BETHESDA,MD,20817,Petites
11922U FAIR OAKS MALL,FAIRFAX,VA,22033,
11905 Democracy Drive,RESTON,VA,20190,"Shoes, Petites"
21100 Dulles Town Circle,DULLES,VA,20166,Petites
2700 Potomac Mills Cir,WOODBRIDGE,VA,22192,"Factory Store, Petites"
10300 LITTLE PATUXENT PKWY,COLUMBIA,MD,21044,Shoes
7000 ARUNDEL MILLS CIR,HANOVER,MD,21076,Factory Store
22705 CLARKSBURG ROAD,CLARKSBURG,MD,20871,Factory Store
241 FORT EVANS ROAD NE,LEESBURG,VA,20176,"Factory Store, Petites"
800 Prime Outlets Blvd.,HAGERSTOWN,MD,21740,"Factory Store, Petites"
11800 WEST BROAD STREET,RICHMOND,VA,23233,
2609-11 BRINDLE DR,HARRISBURG,PA,17109,Petites
9200 STONY POINT PKWY,RICHMOND,VA,23235,
1044 EMMET ST N,CHARLOTTESVILLE,VA,22903,Shoes
4465 POPLAR AVENUE,MEMPHIS,TN,38117,
7615 W FARMINGTON AVE,GERMANTOWN,TN,38138,Shoes
5205 AIRWAYS BLVD,SOUTHAVEN,MS,38671,Factory Store
200 State Street,BOSTON,MA,02109,
28 Newbury Street,BOSTON,MA,02116,"Shoes, Petites"
100 CAMBRIDGESIDE PL.,CAMBRIDGE,MA,02141,"Shoes, Petites"
100 Huntington Avenue,BOSTON,MA,02116,"Shoes, Petites"
